doc_id,title,category,content,source
D001,Python List Comprehension,Python,"A list comprehension provides a concise way to create lists. Common applications are to make new lists where each element is the result of some operations applied to each member of another sequence or iterable. For example, you can create a list of squares using a for loop or a list comprehension. The syntax is [expression for item in iterable if condition]. This approach is faster and more readable than equivalent for loop constructions.",https://docs.python.org/3/tutorial/datastructures.html
D002,Python Dictionary Basics,Python,"Dictionaries are Python's built-in mapping type. A dictionary maps keys to values and these key-value pairs are stored without any particular order. Keys must be immutable objects such as strings or numbers. You can create a dictionary using curly braces with colon-separated key-value pairs. The dict() constructor can also be used. Common operations include accessing values by key, adding new key-value pairs, and deleting entries using the del statement.",https://docs.python.org/3/tutorial/datastructures.html
D003,Python Functions and Arguments,Python,"Functions in Python are defined using the def keyword followed by a function name and parentheses. You can pass information into functions as arguments. Python supports default argument values, keyword arguments, and arbitrary argument lists using *args and **kwargs. Functions can return values using the return statement. If no return statement is used, the function returns None by default. Functions are first-class objects in Python and can be assigned to variables.",https://docs.python.org/3/tutorial/controlflow.html
D004,Python Classes and Objects,Python,"Python is an object-oriented programming language. Classes provide a means of bundling data and functionality together. Creating a new class creates a new type of object, allowing new instances of that type to be made. Each class instance can have attributes attached to it for maintaining its state. Class instances can also have methods for modifying their state. The __init__ method is called when an object is instantiated and allows the class to initialize the object's attributes.",https://docs.python.org/3/tutorial/classes.html
D005,Python Exception Handling,Python,"Errors detected during execution are called exceptions. Python uses try and except blocks to handle exceptions gracefully. The try block contains code that might raise an exception. The except block contains code that runs if an exception occurs. You can specify which type of exception to catch, or use a bare except to catch all exceptions. The finally block always executes regardless of whether an exception occurred. The else block runs only if no exception was raised in the try block.",https://docs.python.org/3/tutorial/errors.html
D006,Python Iterators and Generators,Python,"Iterators are objects that implement the iterator protocol consisting of __iter__ and __next__ methods. Generators are a simple way to create iterators using functions with yield statements. When a generator function is called it returns a generator object without executing the function body. Each call to next() on the generator resumes execution until the next yield statement. Generators are memory efficient because they produce values one at a time rather than storing all values in memory at once.",https://docs.python.org/3/tutorial/classes.html
D007,Python String Methods,Python,"Python strings are immutable sequences of Unicode characters. They support a wide range of built-in methods for text processing. The split() method divides a string into a list of substrings based on a delimiter. The join() method concatenates a list of strings with a separator. The strip() method removes leading and trailing whitespace. The replace() method substitutes occurrences of a substring. The format() method and f-strings allow embedding expressions inside string literals for flexible string formatting.",https://docs.python.org/3/library/stdtypes.html
D008,Python File I/O Operations,Python,"Python provides built-in functions for reading and writing files. The open() function returns a file object and takes a filename and mode as arguments. Common modes include r for reading, w for writing, and a for appending. It is good practice to use the with statement when handling files, which automatically closes the file after the block exits. The read() method reads the entire file, readline() reads one line, and readlines() returns a list of all lines in the file.",https://docs.python.org/3/tutorial/inputoutput.html
D009,Python Lambda Functions,Python,"Lambda functions are small anonymous functions defined with the lambda keyword. They can take any number of arguments but can only have one expression. Lambda functions are syntactically restricted to a single expression and are useful when you need a simple function for a short period of time. They are commonly used with built-in functions like map(), filter(), and sorted(). The expression is evaluated and returned when the lambda function is called. They are equivalent to regular functions defined with def.",https://docs.python.org/3/tutorial/controlflow.html
D010,Python Decorators,Python,"Decorators are a powerful feature in Python that allows you to modify or enhance functions or classes without changing their source code. A decorator is a function that takes another function as an argument and returns a modified version of that function. The @ symbol is used as syntactic sugar to apply decorators. Common use cases include logging, timing, authentication, and caching. The functools.wraps decorator is used to preserve the original function's metadata when creating decorators.",https://docs.python.org/3/glossary.html
D011,Python Virtual Environments,Python,"Virtual environments are isolated Python environments that allow you to install packages without affecting the system Python installation. The venv module provides support for creating lightweight virtual environments. You create a virtual environment using python -m venv myenv and activate it with source myenv/bin/activate on Unix systems. Once activated, pip installs packages only into that environment. This allows different projects to use different versions of the same package without conflicts.",https://docs.python.org/3/library/venv.html
D012,Python List Slicing,Python,"List slicing is a powerful technique for extracting portions of a list. The slice notation uses the format list[start:stop:step] where all parameters are optional. If start is omitted, it defaults to the beginning of the list. If stop is omitted, it defaults to the end. A negative step value reverses the direction of traversal. Slicing creates a new list rather than modifying the original. The same notation applies to strings, tuples, and other sequence types in Python.",https://docs.python.org/3/tutorial/introduction.html
D013,Git Branching Basics,Git,"Branching means you diverge from the main line of development and continue to do work without messing with that main line. The way Git handles branching is incredibly lightweight, making branching operations nearly instantaneous. When you create a branch, Git creates a new pointer to the same commit you are currently on. The HEAD pointer tells Git which branch you are currently working on. Creating a new branch with git branch does not automatically switch you to that branch.",https://git-scm.com/book/en/v2/Git-Branching-Branches-in-a-Nutshell
D014,Git Merging Strategies,Git,"Merging in Git integrates changes from one branch into another. When you merge a branch, Git looks for the common ancestor commit and combines the changes made since then. A fast-forward merge simply moves the branch pointer forward when no divergent history exists. A three-way merge creates a new merge commit when branches have diverged. Merge conflicts occur when the same lines of code are changed differently in both branches and must be resolved manually before the merge can complete.",https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging
D015,Git Rebasing Explained,Git,"Rebasing is the process of moving or combining a sequence of commits to a new base commit. It is an alternative to merging for integrating changes from one branch into another. Rebasing replays commits on top of another branch, resulting in a linear history. This makes the project history cleaner and easier to understand. However, rebasing rewrites commit history, which can cause problems if you rebase commits that have already been pushed to a shared repository. Never rebase public branches.",https://git-scm.com/book/en/v2/Git-Branching-Rebasing
D016,Git Commit Best Practices,Git,"Writing good commit messages is an important skill for collaborative development. A good commit message has a short subject line of no more than fifty characters, followed by a blank line, and then a more detailed description if needed. The subject line should be written in the imperative mood, describing what the commit does rather than what you did. Each commit should represent a single logical change. Commit often to save your work and make it easier to understand the history of a project.",https://git-scm.com/book/en/v2/Distributed-Git-Contributing-to-a-Project
D017,Git Pull Requests Workflow,Git,"Pull requests are a mechanism for developers to notify team members about changes pushed to a branch in a repository. Once a pull request is opened, team members can review the code, discuss potential modifications, and even push follow-up commits. Pull requests display the differences between the content in the source branch and the target branch. They are a core part of the collaborative development workflow on platforms like GitHub and GitLab. Reviewers can approve changes or request modifications.",https://git-scm.com/book/en/v2/GitHub-Contributing-to-a-Project
D018,Git Resolving Merge Conflicts,Git,"Merge conflicts occur when competing changes are made to the same line of a file or when one person edits a file and another deletes it. You must resolve the conflict before you can merge the branches. Git marks the conflicted area in the file with conflict markers showing what each branch changed. After resolving the conflict manually, you need to add the file to the staging area and complete the merge with a commit. Using git status helps identify which files have conflicts that need resolution.",https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging
D019,Git Stashing Changes,Git,"Git stash temporarily saves changes that you do not want to commit immediately. This is useful when you need to switch branches but have uncommitted work you are not ready to save as a commit. The git stash command takes your modified tracked files and staged changes and saves them on a stack of unfinished changes. You can then switch branches and do other work and come back and reapply the stash later. Use git stash pop to reapply the most recently stashed changes.",https://git-scm.com/book/en/v2/Git-Tools-Stashing-and-Cleaning
D020,Git Remote Repository Management,Git,"Remote repositories are versions of your project hosted on a network or the internet. Collaborating with others involves managing these remote repositories by pushing and pulling data to and from them. The git remote command lets you create, view, and delete connections to other repositories. The git fetch command downloads changes from the remote without merging them. The git pull command fetches and merges changes in one step. The git push command uploads local commits to the remote repository.",https://git-scm.com/book/en/v2/Git-Basics-Working-with-Remotes
D021,Git Log and History,Git,"The git log command displays committed snapshots. It lets you list the project history, filter it, and search for specific changes. Git log only operates on the committed history. The --oneline flag condenses each commit to a single line for a compact view. The --graph option draws a text-based graph of the branch structure. The --author flag filters commits by author name. The -p option shows the patch introduced with each commit, which is useful for reviewing what changes were made in each commit.",https://git-scm.com/book/en/v2/Git-Basics-Viewing-the-Commit-History
D022,Git Tagging Releases,Git,"Git has the ability to tag specific points in a repository's history as being important. Typically people use this functionality to mark release points such as version 1.0 or 2.0. There are two types of tags: lightweight and annotated. A lightweight tag is just a pointer to a specific commit. An annotated tag is stored as a full object in the database and contains the tagger name, email, date, and a tagging message. You can share tags to a remote server using git push with the --tags flag.",https://git-scm.com/book/en/v2/Git-Basics-Tagging
D023,What is Gradient Descent,AI기초,"Gradient descent is an optimization algorithm used to minimize a function by iteratively moving in the direction of steepest descent as defined by the negative of the gradient. In machine learning, it is used to update model parameters in order to minimize the loss function. The learning rate is a hyperparameter that controls how large a step to take in the direction of the negative gradient. If the learning rate is too large, the algorithm may overshoot the minimum. If too small, training becomes very slow.",https://developers.google.com/machine-learning/crash-course/reducing-loss/gradient-descent
D024,Loss Functions in Machine Learning,AI기초,"A loss function measures how well a machine learning model performs on training data. It calculates the difference between the predicted output and the actual target value. Common loss functions include mean squared error for regression tasks and cross-entropy loss for classification tasks. The goal of training is to minimize the loss function by adjusting the model parameters. The choice of loss function depends on the type of problem being solved. A well-chosen loss function guides the model toward learning useful representations of the data.",https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss
D025,Activation Functions Overview,AI기초,"Activation functions introduce non-linearity into neural networks, enabling them to learn complex patterns. Without activation functions, a neural network would simply be a linear transformation regardless of its depth. The sigmoid function outputs values between 0 and 1 and was historically popular but suffers from the vanishing gradient problem. The ReLU activation function outputs zero for negative values and the input itself for positive values. ReLU is computationally efficient and helps mitigate the vanishing gradient problem in deep networks.",https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy
D026,Overfitting and Underfitting,AI기초,"Overfitting occurs when a model learns the training data too well, including its noise and random fluctuations, and as a result performs poorly on new unseen data. Underfitting occurs when a model is too simple to capture the underlying patterns in the data. The goal is to find the sweet spot between these two extremes. Techniques to prevent overfitting include regularization, dropout, and gathering more training data. Validation loss that increases while training loss decreases is a common sign of overfitting.",https://developers.google.com/machine-learning/crash-course/generalization/peril-of-overfitting
D027,L1 and L2 Regularization,AI기초,"Regularization is a technique used to reduce overfitting by adding a penalty term to the loss function. L1 regularization adds the sum of absolute values of weights to the loss, which encourages sparse weight vectors where many weights become zero. L2 regularization adds the sum of squared weights, which encourages small but non-zero weights. L2 is also known as weight decay and is more commonly used in practice. The strength of regularization is controlled by a hyperparameter lambda that balances the original loss and the penalty term.",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/l2-regularization
D028,Training Validation Test Split,AI기초,"When building machine learning models it is essential to evaluate performance on data the model has never seen. The dataset is typically split into three parts: training, validation, and test sets. The training set is used to train the model parameters. The validation set is used to tune hyperparameters and select the best model architecture. The test set is used only once at the very end to report final performance. A common split ratio is 70 percent training, 15 percent validation, and 15 percent test data.",https://developers.google.com/machine-learning/crash-course/training-and-test-sets/splitting-data
D029,Bias and Variance Tradeoff,AI기초,"Bias refers to the error introduced by approximating a real-world problem with a simplified model. High bias means the model makes strong assumptions about the data and may underfit. Variance refers to the sensitivity of the model to small fluctuations in the training data. High variance means the model learns the noise in the training data and may overfit. The bias-variance tradeoff describes the tension between these two sources of error. Complex models tend to have low bias but high variance while simple models tend to have high bias but low variance.",https://developers.google.com/machine-learning/crash-course/generalization/peril-of-overfitting
D030,Backpropagation Algorithm,AI기초,"Backpropagation is the algorithm used to compute gradients of the loss function with respect to the weights in a neural network. It applies the chain rule of calculus to propagate error signals from the output layer back through the hidden layers. During the forward pass, inputs flow through the network and produce predictions. During the backward pass, the error is propagated back and gradients are accumulated at each layer. These gradients are then used by an optimizer such as gradient descent to update the weights and minimize the loss.",https://developers.google.com/machine-learning/crash-course/backprop-scroll
D031,Introduction to Neural Networks,AI기초,"Artificial neural networks are computing systems loosely inspired by biological neural networks in the brain. They consist of layers of interconnected nodes called neurons that process information using connectionist approaches. The input layer receives raw data, hidden layers transform the data through learned representations, and the output layer produces the final prediction. Deep neural networks contain many hidden layers and can learn very complex features. Neural networks are trained by adjusting connection weights using gradient-based optimization algorithms.",https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy
D032,NumPy Array Creation,NumPy,"NumPy arrays are the central data structure of the NumPy library. You can create arrays from Python lists using np.array() which converts a list into an ndarray object. The np.zeros() function creates an array filled with zeros. The np.ones() function creates an array filled with ones. The np.arange() function creates arrays with evenly spaced values within a range, similar to Python's range function. The np.linspace() function creates arrays with a specified number of evenly spaced values between a start and stop value.",https://numpy.org/doc/stable/user/quickstart.html
D033,NumPy Array Indexing,NumPy,"NumPy arrays support both basic and advanced indexing. Basic indexing uses integer indices to access individual elements and slices to access subarrays. Negative indices count from the end of the array. Two-dimensional arrays are indexed using a tuple of indices separated by commas. Advanced indexing allows you to select elements using arrays of indices or boolean arrays. Boolean indexing lets you filter array elements based on conditions, returning only the elements where the condition is True. This is very useful for data filtering operations.",https://numpy.org/doc/stable/user/basics.indexing.html
D034,NumPy Broadcasting Rules,NumPy,"Broadcasting is a powerful mechanism that allows NumPy to work with arrays of different shapes when performing arithmetic operations. When operating on two arrays, NumPy compares their shapes element-wise starting from the trailing dimensions. Dimensions are compatible if they are equal or one of them is 1. If the arrays do not have the same number of dimensions, the shape of the smaller array is padded with ones on its leading side. Broadcasting avoids the need to copy data and makes vectorized operations more memory efficient.",https://numpy.org/doc/stable/user/basics.broadcasting.html
D035,NumPy Matrix Operations,NumPy,"NumPy provides comprehensive support for linear algebra operations through the numpy.linalg module. Matrix multiplication can be performed using the @ operator or np.matmul() function. The np.dot() function computes the dot product of two arrays. The np.linalg.inv() function computes the inverse of a square matrix. The np.linalg.eig() function returns the eigenvalues and eigenvectors of a matrix. The np.linalg.svd() function performs singular value decomposition which is widely used in dimensionality reduction and machine learning.",https://numpy.org/doc/stable/reference/routines.linalg.html
D036,NumPy Statistical Functions,NumPy,"NumPy provides a wide range of statistical functions for analyzing data. The np.mean() function computes the arithmetic mean of array elements. The np.median() function computes the median value. The np.std() function computes the standard deviation. The np.var() function computes the variance. The np.percentile() function returns the q-th percentile of the data. These functions accept an axis argument allowing computation along specific dimensions of multi-dimensional arrays, which is very useful for analyzing structured numerical datasets.",https://numpy.org/doc/stable/reference/routines.statistics.html
D037,NumPy Reshaping Arrays,NumPy,"NumPy arrays can be reshaped into different dimensions as long as the total number of elements remains the same. The reshape() method returns a new array with the given shape without changing the data. The flatten() method returns a one-dimensional copy of the array. The ravel() method returns a flattened array that may be a view of the original array. The transpose() method permutes the dimensions of an array. When using reshape, one dimension can be specified as -1 which tells NumPy to calculate that dimension automatically based on the total size.",https://numpy.org/doc/stable/user/quickstart.html
D038,NumPy Random Number Generation,NumPy,"NumPy provides a comprehensive random number generation module through numpy.random. The np.random.seed() function initializes the random number generator for reproducibility. The np.random.rand() function generates uniformly distributed random numbers between 0 and 1. The np.random.randn() function generates numbers from a standard normal distribution. The np.random.randint() function generates random integers within a specified range. The np.random.choice() function randomly samples elements from an array. Setting a seed ensures the same random numbers are generated each time the code runs.",https://numpy.org/doc/stable/reference/random/index.html
D039,NumPy Boolean Masking,NumPy,"Boolean masking is a technique in NumPy where an array of boolean values is used to select elements from another array. Comparison operators applied to NumPy arrays return boolean arrays of the same shape. You can combine multiple conditions using the & operator for AND and the | operator for OR. The resulting boolean mask can be used to index into the original array to retrieve only the matching elements. Boolean masking is extremely useful for filtering data, applying conditional operations, and counting elements that meet a certain criteria.",https://numpy.org/doc/stable/user/basics.indexing.html
D040,NumPy Universal Functions,NumPy,"Universal functions or ufuncs are NumPy functions that operate element-wise on arrays. They are implemented in compiled C code making them significantly faster than equivalent Python loops. Examples include np.sin(), np.cos(), np.exp(), np.log(), and np.sqrt(). Ufuncs support broadcasting and can operate on arrays of different shapes. They also support various methods like reduce, accumulate, and outer which enable powerful aggregation operations. Using ufuncs instead of Python loops is a key technique for writing performant numerical code with NumPy.",https://numpy.org/doc/stable/reference/ufuncs.html
D041,NumPy Stacking and Splitting,NumPy,"NumPy provides functions for combining multiple arrays and splitting single arrays into parts. The np.concatenate() function joins arrays along an existing axis. The np.vstack() function stacks arrays vertically by adding rows. The np.hstack() function stacks arrays horizontally by adding columns. The np.split() function divides an array into multiple sub-arrays along a specified axis. The np.array_split() function is similar but allows unequal division. These operations are essential when assembling datasets from multiple sources or dividing data into batches for processing.",https://numpy.org/doc/stable/reference/routines.array-manipulation.html
D042,pandas DataFrame Introduction,pandas,"A DataFrame is a two-dimensional labeled data structure with columns of potentially different types. It is one of the most commonly used pandas objects. You can think of it as a spreadsheet or SQL table or a dictionary of Series objects. DataFrames can be created from dictionaries, lists, NumPy arrays, or by reading files. The index attribute provides row labels and the columns attribute provides column labels. DataFrames are mutable and their size can be changed by adding or removing columns and rows.",https://pandas.pydata.org/docs/user_guide/dsintro.html
D043,Handling Missing Data in pandas,pandas,"Missing data is represented in pandas as NaN which stands for Not a Number. The isnull() and notnull() functions return boolean masks indicating which values are missing. The dropna() method removes rows or columns containing missing values. The fillna() method fills missing values with a specified value or method such as forward fill or backward fill. The interpolate() method fills missing values using various interpolation techniques. Handling missing data appropriately is critical because many machine learning algorithms cannot handle NaN values and will produce errors.",https://pandas.pydata.org/docs/user_guide/missing_data.html
D044,pandas GroupBy Operations,pandas,"The groupby() method splits the data into groups based on some criteria and then applies a function to each group independently. The split-apply-combine strategy is the underlying concept behind groupby operations. Common aggregation functions include sum(), mean(), count(), min(), and max(). You can group by multiple columns by passing a list to groupby(). The agg() method allows applying multiple aggregation functions at once. GroupBy is essential for computing summary statistics and building reports from tabular data organized by categories.",https://pandas.pydata.org/docs/user_guide/groupby.html
D045,pandas Merging and Joining,pandas,"pandas provides several ways to combine DataFrames. The merge() function combines DataFrames based on common columns or indices, similar to SQL JOIN operations. The how parameter controls the type of join: inner keeps only matching rows, outer keeps all rows, left keeps all rows from the left DataFrame, and right keeps all rows from the right DataFrame. The concat() function stacks DataFrames along a given axis. The join() method is a convenient alternative for combining on index values. Understanding these operations is fundamental for working with relational datasets.",https://pandas.pydata.org/docs/user_guide/merging.html
D046,pandas Indexing with loc and iloc,pandas,"pandas provides two primary indexers for selecting data from DataFrames. The loc indexer is label-based, meaning you use row and column labels to select data. The iloc indexer is integer position-based, meaning you use integer indices to select data. Both support slicing and boolean arrays for selection. The at and iat accessors provide fast scalar value access for single elements. Using loc with a boolean Series allows powerful conditional data selection. It is important to understand the difference between loc and iloc to avoid subtle bugs when the index is not the default integer range.",https://pandas.pydata.org/docs/user_guide/indexing.html
D047,pandas Apply and Map Functions,pandas,"The apply() method applies a function along an axis of a DataFrame or to elements of a Series. For a DataFrame, axis=0 applies the function to each column and axis=1 applies it to each row. The map() method applies a function element-wise to a Series. The applymap() method applies a function element-wise to a DataFrame but has been deprecated in newer pandas versions in favor of map(). Lambda functions are often used with apply() for concise transformations. These methods provide flexible ways to transform data when vectorized operations are not directly available.",https://pandas.pydata.org/docs/user_guide/apply.html
D048,pandas Time Series Basics,pandas,"pandas has extensive support for working with time series data. The DatetimeIndex is used for indexing time series data and enables powerful time-based slicing. The to_datetime() function converts various date formats into pandas Timestamp objects. The resample() method is used to aggregate time series data over different time intervals such as daily, monthly, or yearly. The shift() method shifts data by a given number of periods. The rolling() method enables computing rolling statistics like moving averages over a sliding window of time.",https://pandas.pydata.org/docs/user_guide/timeseries.html
D049,pandas Data Cleaning Techniques,pandas,"Data cleaning is one of the most important steps in any data analysis workflow. The duplicated() method identifies duplicate rows and drop_duplicates() removes them. The replace() method substitutes specified values with new ones. The rename() method changes column or index labels. The astype() method converts a column to a specified data type. String methods accessed via the .str accessor provide vectorized string operations for cleaning text columns. The clip() method limits values to a specified range, which is useful for handling outliers in numerical data.",https://pandas.pydata.org/docs/user_guide/basics.html
D050,pandas Reading and Writing Files,pandas,"pandas supports reading and writing data in many formats. The read_csv() function reads comma-separated values files into DataFrames. The to_csv() method writes a DataFrame to a CSV file. The read_excel() function reads Excel files and to_excel() writes them. The read_json() and to_json() methods handle JSON format. The read_sql() function reads data from SQL databases using a connection object. The encoding parameter is important when files contain non-ASCII characters. The index parameter in to_csv() controls whether the DataFrame index is written to the file.",https://pandas.pydata.org/docs/user_guide/io.html
D051,Python Context Managers,Python,"Context managers in Python allow you to allocate and release resources precisely when you want to. The most common use of a context manager is the with statement. When you open a file using with open() as f, the file is automatically closed when the block exits, even if an exception occurs. You can create your own context managers by defining __enter__ and __exit__ methods in a class, or by using the contextlib module with the contextmanager decorator. Context managers ensure proper resource management and cleanup, preventing resource leaks in your programs.",https://docs.python.org/3/reference/compound_stmts.html
D052,Python Type Hints,Python,"Type hints allow you to specify the expected types of function arguments and return values in Python. They were introduced in Python 3.5 and have been improved in subsequent versions. Type hints are not enforced at runtime but can be checked with static type checkers like mypy. The typing module provides support for complex types like List, Dict, Optional, and Union. Type hints improve code readability, enable better IDE support with autocomplete and error detection, and serve as a form of documentation for function signatures and class attributes.",https://docs.python.org/3/library/typing.html
D053,Git Cherry Picking Commits,Git,"Cherry picking in Git means to choose a commit from one branch and apply it onto another branch. This is useful when you want to apply a specific bug fix from a development branch to a stable release branch without merging all development changes. The git cherry-pick command takes a commit hash as an argument and applies the changes introduced by that commit to your current branch. If there are conflicts, you must resolve them manually before completing the cherry-pick. Cherry picking creates a new commit with a different hash but the same changes.",https://git-scm.com/docs/git-cherry-pick
D054,Git Bisect for Debugging,Git,"Git bisect is a powerful debugging tool that uses binary search to find the commit that introduced a bug. You start by telling Git a known bad commit and a known good commit. Git then checks out the commit halfway between them and asks you to test whether the bug is present. Based on your answer, Git narrows down the search range until it identifies the exact commit that introduced the problem. This process dramatically reduces the number of commits you need to test manually, making it very efficient for finding regressions in large projects.",https://git-scm.com/docs/git-bisect
D055,Batch Normalization in Neural Networks,AI기초,"Batch normalization is a technique that normalizes the inputs of each layer in a neural network across a mini-batch of training examples. It was introduced to address the problem of internal covariate shift where the distribution of each layer's inputs changes during training. Batch normalization allows the use of higher learning rates and reduces sensitivity to weight initialization. It also has a slight regularization effect, which can reduce the need for dropout. Batch normalization is applied before or after the activation function depending on the specific architecture.",https://developers.google.com/machine-learning/glossary
D056,Dropout Regularization,AI기초,"Dropout is a regularization technique for neural networks that randomly sets a fraction of input units to zero during training. This prevents neurons from co-adapting too much, forcing the network to learn more robust features that are useful in conjunction with many different random subsets of other neurons. The dropout rate specifies the probability of setting a unit to zero and is typically between 0.2 and 0.5. During inference, dropout is turned off and activations are scaled by the dropout rate. Dropout effectively trains an ensemble of different neural network architectures simultaneously.",https://developers.google.com/machine-learning/glossary
D057,NumPy Fancy Indexing,NumPy,"Fancy indexing is a term adopted by NumPy to describe indexing using integer arrays. It allows you to select and rearrange arbitrary elements of an array in ways that basic slicing does not support. When you index with an array of indices, the result is an array with the same shape as the index array, not the original array. Fancy indexing can also be used with multi-dimensional arrays by providing index arrays for each dimension. Unlike slicing, fancy indexing always returns a copy of the data rather than a view, which has memory implications for large arrays.",https://numpy.org/doc/stable/user/basics.indexing.html
D058,pandas Pivot Tables,pandas,"Pivot tables are a data summarization tool that can automatically sort, count, total, or calculate averages of data stored in a DataFrame. The pivot_table() function in pandas creates a spreadsheet-style pivot table. The values parameter specifies which column to aggregate, the index parameter sets the rows, and the columns parameter sets the columns of the resulting table. The aggfunc parameter specifies the aggregation function, which defaults to mean. The fill_value parameter replaces missing values in the result. Pivot tables are extremely useful for creating cross-tabulation summaries of datasets.",https://pandas.pydata.org/docs/user_guide/reshaping.html
D059,Python Comprehension Types,Python,"Python supports several types of comprehensions for concise data creation. List comprehensions create lists using the syntax [expression for item in iterable if condition]. Dictionary comprehensions create dictionaries using {key: value for item in iterable if condition}. Set comprehensions create sets using {expression for item in iterable if condition}. Generator expressions have the same syntax as list comprehensions but use parentheses instead of brackets and produce values lazily. These comprehension forms are generally faster than equivalent for loops and are considered more Pythonic ways to create collections.",https://docs.python.org/3/tutorial/datastructures.html
D060,Convolutional Neural Networks Basics,AI기초,"Convolutional neural networks are a class of deep neural networks most commonly applied to image data. They use a mathematical operation called convolution to process data with a grid-like topology. Convolutional layers apply learnable filters across the input to detect local features such as edges, textures, and shapes. Pooling layers reduce the spatial dimensions of the representation, making the model more computationally efficient. The fully connected layers at the end of the network combine the features learned by convolutional layers to make the final classification or regression prediction.",https://developers.google.com/machine-learning/glossary
